x1,x2,qT,QM,A,dA
0.237880483,0.337880483,0.9,11.0,0.08463365072095785,0.00265
0.237880483,0.337880483,1.1,11.0,0.07398970244116766,0.00207
0.237880483,0.337880483,1.3,11.0,0.0641810961794372,0.00176
0.237880483,0.337880483,1.5,11.0,0.053317902957047816,0.0015
0.237880483,0.337880483,1.7,11.0,0.041209238487737665,0.00103
0.237880483,0.337880483,1.9,11.0,0.029126866137988577,0.00106
0.237880483,0.337880483,2.1,11.0,0.018673569568836295,0.000719
0.237880483,0.337880483,2.3,11.0,0.010828053469741122,0.000607
0.237880483,0.337880483,2.5,11.0,0.005677825727087346,0.000622
0.237880483,0.337880483,2.7,11.0,0.0026950663606953766,0.000587
0.237880483,0.337880483,2.9,11.0,0.0011597458641440055,0.000493
0.237880483,0.337880483,3.1,11.0,0.00045316752830638695,0.000524
0.276021861,0.376021861,0.1,12.5,0.023461121826698926,0.00642
0.276021861,0.376021861,0.3,12.5,0.02174397011179279,0.00479
0.276021861,0.376021861,0.5,12.5,0.01903094466104864,0.00387
0.276021861,0.376021861,0.7,12.5,0.016259347744481817,0.00263
0.276021861,0.376021861,0.9,12.5,0.01399928648528596,0.00219
0.276021861,0.376021861,1.1,12.5,0.01223866668413102,0.00176
0.276021861,0.376021861,1.3,12.5,0.010616221144920317,0.00146
0.276021861,0.376021861,1.5,12.5,0.0088193359489047,0.00119
0.276021861,0.376021861,1.7,12.5,0.006816436848888691,0.000976
0.276021861,0.376021861,1.9,12.5,0.0048178867390309115,0.000731
0.276021861,0.376021861,2.1,12.5,0.003088802714643178,0.000636
0.276021861,0.376021861,2.3,12.5,0.0017910727152806562,0.00055
0.276021861,0.376021861,2.5,12.5,0.0009391714559152274,0.000483
0.276021861,0.376021861,2.7,12.5,0.00044579201959072247,0.00042
0.276021861,0.376021861,2.9,12.5,0.00019183403367305097,0.00033
0.276021861,0.376021861,3.1,12.5,7.495862461973503e-05,0.000284
0.276021861,0.376021861,3.3,12.5,2.6637407817694758e-05,0.000298
0.276021861,0.376021861,3.5,12.5,8.620942185785234e-06,0.000243
0.358995608,0.458995608,0.1,15.75,0.0005901176091185985,0.00546
0.358995608,0.458995608,0.3,15.75,0.0005469260911690542,0.0029
0.358995608,0.458995608,0.5,15.75,0.0004786853606405979,0.00213
0.358995608,0.458995608,0.7,15.75,0.0004089713820028157,0.00172
0.358995608,0.458995608,0.9,15.75,0.00035212406001242113,0.00116
0.358995608,0.458995608,1.1,15.75,0.0003078391892675765,0.00109
0.358995608,0.458995608,1.3,15.75,0.00026702981580298,0.000879
0.358995608,0.458995608,1.5,15.75,0.00022183276156294667,0.000697
0.358995608,0.458995608,1.7,15.75,0.0001714538394918726,0.000509
0.358995608,0.458995608,1.9,15.75,0.00012118430757243803,0.000359
0.358995608,0.458995608,2.1,15.75,7.769265623649581e-05,0.000366
0.358995608,0.458995608,2.3,15.75,4.505085290918048e-05,0.000294
0.358995608,0.458995608,2.5,15.75,2.3622980103467124e-05,0.000288
0.358995608,0.458995608,2.7,15.75,1.1213006893202064e-05,0.000191
0.358995608,0.458995608,2.9,15.75,4.8252015455582286e-06,0.000166
0.310513342,0.210513342,0.1,9.92,0.5301120982149617,0.0114
0.310513342,0.210513342,0.3,9.92,0.4913124659865316,0.00846
0.310513342,0.210513342,0.5,9.92,0.43001072496885,0.00637
0.310513342,0.210513342,0.7,9.92,0.36738554158246434,0.00528
0.310513342,0.210513342,0.9,9.92,0.31631868190471296,0.00463
0.310513342,0.210513342,1.1,9.92,0.2765368733516828,0.00403
0.310513342,0.210513342,1.3,9.92,0.239877159660937,0.0034
0.310513342,0.210513342,1.5,9.92,0.19927592206678105,0.00325
0.310513342,0.210513342,1.7,9.92,0.15401972961932298,0.0028
0.310513342,0.210513342,1.9,9.92,0.10886180409681954,0.00284
0.310513342,0.210513342,2.1,9.92,0.06979255724115366,0.00249
0.310513342,0.210513342,2.3,9.92,0.040469902597432245,0.00238
0.310513342,0.210513342,2.5,9.92,0.021220901317355004,0.00254
0.310513342,0.210513342,2.7,9.92,0.010072823653461856,0.00245
0.310513342,0.210513342,2.9,9.92,0.004334555817519888,0.0018
0.310513342,0.210513342,3.1,9.92,0.0016937158448772482,0.0033
0.310513342,0.210513342,3.3,9.92,0.0006018813701046555,0.00127
0.310513342,0.210513342,3.5,9.92,0.00019479314691148828,0.00201
0.310513342,0.210513342,3.9,9.92,1.54894752643682e-05,0.00139
