,hadron,Q2,x,y,z,phT,Siv,tot_err,1D_dependence
81,k+,4.36,0.0454,0.36,0.374,0.57,0.01631556869452171,0.0175,z
82,k+,4.18,0.0499,0.31,0.447,0.58,0.022507951829526095,0.0139,z
83,k+,3.89,0.0558,0.26,0.567,0.6,0.03187244464456305,0.0143,z
84,k+,3.77,0.0616,0.22,0.715,0.64,0.042211421945859265,0.0209,z
85,k+,3.55,0.063,0.2,0.874,0.63,0.03976680474804104,0.0317,z
86,k+,1.23,0.0065,0.64,0.299,0.64,0.00036900262364214834,0.0271,x
87,k+,1.47,0.0106,0.47,0.35,0.6,0.0010163335402704242,0.0161,x
88,k+,1.83,0.0163,0.38,0.391,0.58,0.0024456136693607046,0.0141,x
89,k+,2.45,0.0255,0.33,0.433,0.57,0.006056567213312293,0.0133,x
90,k+,3.56,0.0399,0.3,0.458,0.57,0.014628002608858395,0.0151,x
91,k+,5.48,0.0629,0.29,0.463,0.57,0.0339883028025013,0.0172,x
92,k+,8.54,0.1009,0.29,0.468,0.57,0.07765275839930698,0.0203,x
93,k+,13.6,0.1623,0.28,0.473,0.57,0.16331844096304024,0.0261,x
94,k+,26.24,0.2959,0.29,0.468,0.61,0.35860628055029786,0.0319,x
95,k+,4.15,0.0455,0.34,0.41,0.15,0.003519637753210875,0.0199,phT
96,k+,4.26,0.0467,0.35,0.405,0.25,0.0063350910715493395,0.0171,phT
97,k+,4.24,0.0465,0.36,0.404,0.35,0.009265220538055632,0.016,phT
98,k+,4.21,0.0463,0.36,0.408,0.45,0.012762968085588603,0.0161,phT
99,k+,4.19,0.046,0.36,0.415,0.55,0.01703231909055843,0.0168,phT
100,k+,4.16,0.0459,0.36,0.425,0.67,0.023941506054649918,0.0155,phT
101,k+,4.18,0.046,0.36,0.437,0.82,0.036719069331490786,0.0188,phT
102,k+,4.3,0.046,0.37,0.448,1.06,0.07302830295710297,0.0174,phT
103,k+,4.81,0.0459,0.41,0.438,1.59,0.3863532583606912,0.0312,phT
